id_date,date,jour,mois,annee
421,2021-08-29,29,8,2021
422,2021-08-30,30,8,2021
423,2021-08-31,31,8,2021
424,2021-09-01,1,9,2021
425,2021-09-02,2,9,2021
426,2021-09-03,3,9,2021
427,2021-09-04,4,9,2021
428,2021-09-05,5,9,2021
429,2021-09-06,6,9,2021
430,2021-09-07,7,9,2021
431,2021-09-08,8,9,2021
432,2021-09-09,9,9,2021
433,2021-09-10,10,9,2021
434,2021-09-11,11,9,2021
435,2021-09-12,12,9,2021
436,2021-09-13,13,9,2021
437,2021-09-14,14,9,2021
438,2021-09-15,15,9,2021
439,2021-09-16,16,9,2021
440,2021-09-17,17,9,2021
441,2021-09-18,18,9,2021
442,2021-09-19,19,9,2021
443,2021-09-20,20,9,2021
444,2021-09-21,21,9,2021
445,2021-09-22,22,9,2021
446,2021-09-23,23,9,2021
447,2021-09-24,24,9,2021
448,2021-09-25,25,9,2021
449,2021-09-26,26,9,2021
450,2021-09-27,27,9,2021
451,2021-09-28,28,9,2021
452,2021-09-29,29,9,2021
453,2021-09-30,30,9,2021
454,2021-10-01,1,10,2021
455,2021-10-02,2,10,2021
456,2021-10-03,3,10,2021
457,2021-10-04,4,10,2021
458,2021-10-05,5,10,2021
459,2021-10-06,6,10,2021
460,2021-10-07,7,10,2021
461,2021-10-08,8,10,2021
462,2021-10-09,9,10,2021
463,2021-10-10,10,10,2021
464,2021-10-11,11,10,2021
465,2021-10-12,12,10,2021
466,2021-10-13,13,10,2021
467,2021-10-14,14,10,2021
468,2021-10-15,15,10,2021
469,2021-10-16,16,10,2021
470,2021-10-17,17,10,2021
471,2021-10-18,18,10,2021
472,2021-10-19,19,10,2021
473,2021-10-20,20,10,2021
474,2021-10-21,21,10,2021
475,2021-10-22,22,10,2021
476,2021-10-23,23,10,2021
477,2021-10-24,24,10,2021
478,2021-10-25,25,10,2021
479,2021-10-26,26,10,2021
480,2021-10-27,27,10,2021
481,2021-10-28,28,10,2021
482,2021-10-29,29,10,2021
483,2021-10-30,30,10,2021
484,2021-10-31,31,10,2021
485,2021-11-01,1,11,2021
486,2021-11-02,2,11,2021
487,2021-11-03,3,11,2021
488,2021-11-04,4,11,2021
489,2021-11-05,5,11,2021
490,2021-11-06,6,11,2021
491,2021-11-07,7,11,2021
492,2021-11-08,8,11,2021
493,2021-11-09,9,11,2021
494,2021-11-10,10,11,2021
495,2021-11-11,11,11,2021
496,2021-11-12,12,11,2021
497,2021-11-13,13,11,2021
498,2021-11-14,14,11,2021
499,2021-11-15,15,11,2021
500,2021-11-16,16,11,2021
501,2021-11-17,17,11,2021
502,2021-11-18,18,11,2021
503,2021-11-19,19,11,2021
504,2021-11-20,20,11,2021
505,2021-11-21,21,11,2021
506,2021-11-22,22,11,2021
507,2021-11-23,23,11,2021
508,2021-11-24,24,11,2021
509,2021-11-25,25,11,2021
510,2021-11-26,26,11,2021
511,2021-11-27,27,11,2021
512,2021-11-28,28,11,2021
513,2021-11-29,29,11,2021
514,2021-11-30,30,11,2021
515,2021-12-01,1,12,2021
516,2021-12-02,2,12,2021
517,2021-12-03,3,12,2021
518,2021-12-04,4,12,2021
519,2021-12-05,5,12,2021
520,2021-12-06,6,12,2021
521,2021-12-07,7,12,2021
522,2021-12-08,8,12,2021
523,2021-12-09,9,12,2021
524,2021-12-10,10,12,2021
525,2021-12-11,11,12,2021
526,2021-12-12,12,12,2021
527,2021-12-13,13,12,2021
528,2021-12-14,14,12,2021
529,2021-12-15,15,12,2021
530,2021-12-16,16,12,2021
531,2021-12-17,17,12,2021
532,2021-12-18,18,12,2021
533,2021-12-19,19,12,2021
534,2021-12-20,20,12,2021
535,2021-12-21,21,12,2021
536,2021-12-22,22,12,2021
537,2021-12-23,23,12,2021
538,2021-12-24,24,12,2021
539,2021-12-25,25,12,2021
540,2021-12-26,26,12,2021
541,2021-12-27,27,12,2021
542,2021-12-28,28,12,2021
543,2021-12-29,29,12,2021
544,2021-12-30,30,12,2021
545,2021-12-31,31,12,2021
546,2022-01-01,1,1,2022
547,2022-01-02,2,1,2022
548,2022-01-03,3,1,2022
549,2022-01-04,4,1,2022
550,2022-01-05,5,1,2022
551,2022-01-06,6,1,2022
552,2022-01-07,7,1,2022
553,2022-01-08,8,1,2022
554,2022-01-09,9,1,2022
555,2022-01-10,10,1,2022
556,2022-01-11,11,1,2022
557,2022-01-12,12,1,2022
558,2022-01-13,13,1,2022
559,2022-01-14,14,1,2022
560,2022-01-15,15,1,2022
561,2022-01-16,16,1,2022
562,2022-01-17,17,1,2022
563,2022-01-18,18,1,2022
564,2022-01-19,19,1,2022
565,2022-01-20,20,1,2022
566,2022-01-21,21,1,2022
567,2022-01-22,22,1,2022
568,2022-01-23,23,1,2022
569,2022-01-24,24,1,2022
570,2022-01-25,25,1,2022
571,2022-01-26,26,1,2022
572,2022-01-27,27,1,2022
573,2022-01-28,28,1,2022
574,2022-01-29,29,1,2022
575,2022-01-30,30,1,2022
576,2022-01-31,31,1,2022
577,2022-02-01,1,2,2022
578,2022-02-02,2,2,2022
579,2022-02-03,3,2,2022
580,2022-02-04,4,2,2022
581,2022-02-05,5,2,2022
582,2022-02-06,6,2,2022
583,2022-02-07,7,2,2022
584,2022-02-08,8,2,2022
585,2022-02-09,9,2,2022
586,2022-02-10,10,2,2022
587,2022-02-11,11,2,2022
588,2022-02-12,12,2,2022
589,2022-02-13,13,2,2022
590,2022-02-14,14,2,2022
591,2022-02-15,15,2,2022
592,2022-02-16,16,2,2022
593,2022-02-17,17,2,2022
594,2022-02-18,18,2,2022
595,2022-02-19,19,2,2022
596,2022-02-20,20,2,2022
597,2022-02-21,21,2,2022
598,2022-02-22,22,2,2022
599,2022-02-23,23,2,2022
600,2022-02-24,24,2,2022
601,2022-02-25,25,2,2022
602,2022-02-26,26,2,2022
603,2022-02-27,27,2,2022
604,2022-02-28,28,2,2022
605,2022-03-01,1,3,2022
606,2022-03-02,2,3,2022
607,2022-03-03,3,3,2022
608,2022-03-04,4,3,2022
609,2022-03-05,5,3,2022
610,2022-03-06,6,3,2022
611,2022-03-07,7,3,2022
612,2022-03-08,8,3,2022
613,2022-03-09,9,3,2022
614,2022-03-10,10,3,2022
615,2022-03-11,11,3,2022
616,2022-03-12,12,3,2022
617,2022-03-13,13,3,2022
618,2022-03-14,14,3,2022
619,2022-03-15,15,3,2022
620,2022-03-16,16,3,2022
621,2022-03-17,17,3,2022
622,2022-03-18,18,3,2022
623,2022-03-19,19,3,2022
624,2022-03-20,20,3,2022
625,2022-03-21,21,3,2022
626,2022-03-22,22,3,2022
627,2022-03-23,23,3,2022
628,2022-03-24,24,3,2022
629,2022-03-25,25,3,2022
630,2022-03-26,26,3,2022
631,2022-03-27,27,3,2022
632,2022-03-28,28,3,2022
633,2022-03-29,29,3,2022
634,2022-03-30,30,3,2022
635,2022-03-31,31,3,2022
636,2022-04-01,1,4,2022
637,2022-04-02,2,4,2022
638,2022-04-03,3,4,2022
639,2022-04-04,4,4,2022
640,2022-04-05,5,4,2022
641,2022-04-06,6,4,2022
642,2022-04-07,7,4,2022
643,2022-04-08,8,4,2022
