date,jour,mois,annee,ville,temp,is_rainy
2021-08-20,20,8,2021,Antananarivo,18.9,0
2021-08-21,21,8,2021,Antananarivo,18.9,0
2021-08-22,22,8,2021,Antananarivo,17.2,0
2021-08-23,23,8,2021,Antananarivo,16.0,0
2021-08-24,24,8,2021,Antananarivo,16.7,0
2021-08-25,25,8,2021,Antananarivo,17.5,1
2021-08-26,26,8,2021,Antananarivo,16.1,0
2021-08-27,27,8,2021,Antananarivo,15.2,0
2021-08-28,28,8,2021,Antananarivo,14.8,1
2021-08-29,29,8,2021,Antananarivo,16.6,1
2021-08-30,30,8,2021,Antananarivo,16.9,1
2021-08-31,31,8,2021,Antananarivo,17.7,1
2021-09-01,1,9,2021,Antananarivo,18.0,0
2021-09-02,2,9,2021,Antananarivo,15.8,0
2021-09-03,3,9,2021,Antananarivo,15.5,0
2021-09-04,4,9,2021,Antananarivo,14.9,0
2021-09-05,5,9,2021,Antananarivo,14.5,0
2021-09-06,6,9,2021,Antananarivo,15.0,0
2021-09-07,7,9,2021,Antananarivo,14.4,1
2021-09-08,8,9,2021,Antananarivo,15.6,0
2021-09-09,9,9,2021,Antananarivo,16.9,0
2021-09-10,10,9,2021,Antananarivo,16.3,0
2021-09-11,11,9,2021,Antananarivo,14.7,1
2021-09-12,12,9,2021,Antananarivo,15.1,1
2021-09-13,13,9,2021,Antananarivo,15.3,1
2021-09-14,14,9,2021,Antananarivo,16.2,0
2021-09-15,15,9,2021,Antananarivo,17.0,0
2021-09-16,16,9,2021,Antananarivo,17.8,0
2021-09-17,17,9,2021,Antananarivo,19.5,0
2021-09-18,18,9,2021,Antananarivo,19.5,1
2021-09-19,19,9,2021,Antananarivo,15.7,0
2021-09-20,20,9,2021,Antananarivo,14.9,1
2021-09-21,21,9,2021,Antananarivo,16.6,0
2021-09-22,22,9,2021,Antananarivo,17.7,1
2021-09-23,23,9,2021,Antananarivo,17.7,1
2021-09-24,24,9,2021,Antananarivo,16.7,0
2021-09-25,25,9,2021,Antananarivo,17.0,0
2021-09-26,26,9,2021,Antananarivo,17.0,0
2021-09-27,27,9,2021,Antananarivo,15.7,0
2021-09-28,28,9,2021,Antananarivo,16.2,1
2021-09-29,29,9,2021,Antananarivo,17.4,0
2021-09-30,30,9,2021,Antananarivo,17.9,0
2021-10-01,1,10,2021,Antananarivo,17.0,0
2021-10-02,2,10,2021,Antananarivo,17.2,0
2021-10-03,3,10,2021,Antananarivo,17.6,0
2021-10-04,4,10,2021,Antananarivo,19.4,0
2021-10-05,5,10,2021,Antananarivo,19.7,0
2021-10-06,6,10,2021,Antananarivo,19.5,1
2021-10-07,7,10,2021,Antananarivo,19.1,1
2021-10-08,8,10,2021,Antananarivo,16.0,0
2021-10-09,9,10,2021,Antananarivo,16.6,1
2021-10-10,10,10,2021,Antananarivo,18.2,0
2021-10-11,11,10,2021,Antananarivo,18.5,0
2021-10-12,12,10,2021,Antananarivo,18.7,0
2021-10-13,13,10,2021,Antananarivo,20.3,0
2021-10-14,14,10,2021,Antananarivo,20.7,0
2021-10-15,15,10,2021,Antananarivo,19.1,1
2021-10-16,16,10,2021,Antananarivo,17.7,0
2021-10-17,17,10,2021,Antananarivo,17.9,0
2021-10-18,18,10,2021,Antananarivo,18.0,0
2021-10-19,19,10,2021,Antananarivo,20.2,0
2021-10-20,20,10,2021,Antananarivo,20.5,0
2021-10-21,21,10,2021,Antananarivo,21.0,1
2021-10-22,22,10,2021,Antananarivo,22.0,0
2021-10-23,23,10,2021,Antananarivo,22.9,0
2021-10-24,24,10,2021,Antananarivo,22.1,1
2021-10-25,25,10,2021,Antananarivo,21.3,1
2021-10-26,26,10,2021,Antananarivo,19.8,0
2021-10-27,27,10,2021,Antananarivo,21.0,0
2021-10-28,28,10,2021,Antananarivo,21.3,1
2021-10-29,29,10,2021,Antananarivo,16.7,1
2021-10-30,30,10,2021,Antananarivo,18.5,1
2021-10-31,31,10,2021,Antananarivo,20.1,1
2021-11-01,1,11,2021,Antananarivo,21.5,0
2021-11-02,2,11,2021,Antananarivo,21.7,1
2021-11-03,3,11,2021,Antananarivo,22.1,0
2021-11-04,4,11,2021,Antananarivo,23.7,0
2021-11-05,5,11,2021,Antananarivo,23.5,0
2021-11-06,6,11,2021,Antananarivo,22.1,1
2021-11-07,7,11,2021,Antananarivo,21.4,1
2021-11-08,8,11,2021,Antananarivo,22.7,0
2021-11-09,9,11,2021,Antananarivo,22.5,0
2021-11-10,10,11,2021,Antananarivo,23.9,0
2021-11-11,11,11,2021,Antananarivo,24.0,0
2021-11-12,12,11,2021,Antananarivo,23.0,0
